Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14006_001,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"340130007003","Block Group 3, Census Tract 7, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000700","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,381,381,0,209,0,0,0,0,172,287,131,88,27,41,0,0,0,0,0,0,74,46,28,31631,,,,,,,,,,31631,,,,,
"340130007004","Block Group 4, Census Tract 7, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000700","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4",,,,1436,1436,227,863,0,1,0,345,0,1223,437,476,226,56,27,0,1,0,0,0,752,630,122,63443,,,,,,,,,,63443,,,,,
"340130008001","Block Group 1, Census Tract 8, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2438,2438,548,88,0,66,0,1322,414,1693,344,798,431,91,29,0,0,166,36,130,1446,1279,167,75547,,,,,,,,,,75547,,,,,
"340130008002","Block Group 2, Census Tract 8, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,3155,3155,1503,594,0,88,0,465,505,2099,818,698,444,102,21,0,16,151,0,151,1752,1468,284,59699,,,,,,,,,,59699,,,,,
"340130009001","Block Group 1, Census Tract 9, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1008,1008,82,870,0,0,0,56,0,857,137,405,230,85,0,0,0,0,0,0,545,378,167,15111,,,,,,,,,,15111,,,,,
"340130009002","Block Group 2, Census Tract 9, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1317,1317,260,416,0,81,0,542,18,852,211,246,181,122,92,0,0,79,21,58,931,882,49,73750,,,,,,,,,,73750,,,,,
"340130009003","Block Group 3, Census Tract 9, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,866,866,514,120,0,0,0,165,67,627,281,153,128,65,0,0,0,0,0,0,481,417,64,,,,,,,,,,,,,,,,
"340130010001","Block Group 1, Census Tract 10, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1140,1140,267,650,0,13,0,156,54,672,204,340,88,40,0,0,0,97,0,97,369,360,9,20240,,,,,,,,,,20240,,,,,
"340130010002","Block Group 2, Census Tract 10, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2698,2698,747,1242,0,9,0,302,398,1749,569,673,356,80,59,12,0,79,4,75,1052,939,113,50329,,,,,,,,,,50329,,,,,
"340130011001","Block Group 1, Census Tract 11, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2100,2100,858,381,24,532,0,90,215,148,0,15,100,12,7,14,0,1050,0,1050,521,448,73,101094,,,,,,,,,,101094,,,,,
"340130011002","Block Group 2, Census Tract 11, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1424,1424,223,704,0,197,0,166,134,942,232,327,63,244,36,0,40,19,0,19,769,739,30,93547,,,,,,,,,,93547,,,,,
